section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,M.S. in Program Evaluation & Data Analytics,"Phoenix, AZ",Arizona State University,2024,2026,"studying variety of data tools and implement rigorous approaches to collecting, analyzing and interpreting data within an organizations","visualizations, dashboards and automated reports to support decision-making","program evaluation, which focuses on using tools to assess policy or program impact, and data science"
education,TRUE,B.A. International Relations,New York City,Marymount Manhattan,2005,2010,"Demonstrate a critical and theoretically informed understanding of global politics, economics, and history through oral and written analysis of case studies.",Critically evaluate research and policy publications from the field.,"Analyze contemporary global issues, orally and in writing, from cross-cultural and multicultural perspectives"
PRG_year_up_positions,TRUE,Associate Director of Program,"Phoenix, AZ",Year Up Arizona,2021,2022,"Led the team responsible for design, delivery and evaluation of all programs for 100+ young adults yearly.","Collaborated with college, employment and business stakeholders to drive organizational outcomes for student persistence and job placement.",Strategized with local and national partners to launch new hybrid programming delivery models.
PRG_year_up_positions,TRUE,Employment Placement Manager,"Phoenix, AZ",Year Up Arizona,2018,2021,"Designed and facilitated weekly career and job-search programming to cohorts of 50+ students, virtually and in person.","Iterated and facilitated 4-6 events every semester, engaging 100+ corporate stakeholders and volunteers.","Successfully placed 85% of graduates, consistently meeting program job placement outcomes."
PRG_year_up_positions,TRUE,Operations & Program Specialist,"Phoenix, AZ",Year Up Arizona,2014,2018,First hire on the ground as Startup Coordinator. Responsible for many projects that supported student & community recruitment and outreach goals. ,Responsible for many projects that supported student & community recruitment and outreach goals.,Led development and implementation of interactive data visualizations to help users compare themselves to other demographics.
STRAT_ year_up_positions,FALSE,Associate Director of Program,"Phoenix, AZ",Year Up Arizona,2021,2022,So much good info,So much good info,So much good info
STRAT_ year_up_positions,FALSE,Employment Placement Manager,"Phoenix, AZ",Year Up Arizona,2018,2021,So much good info,So much good info,So much good info
STRAT_ year_up_positions,FALSE,Operations & Program Specialist,"Phoenix, AZ",Year Up Arizona,2014,2018,So much good info,So much good info,So much good info
general_positions,TRUE,Strategic Resource Analyst,"Phoenix, AZ",Greater Phoenix Economic Council,2013,2014,Drove organizational mission to increase and diversify funding streams by analyzing and reporting on philanthropic and federal grant trends and identifying opportunities for community collaboration.,"Assist the International Strategy Department to research multinational firms, analyze their market needs & design outreach/recruitment strategies and materials",NA
general_positions,TRUE,Volunteer,"Ulaanbaatar, Mongolia ",United States Peace Corps,2011,2013,Collaborated with Mongolian counterparts within host community to preform functional role as english teachers and went beyond job requirements to create creative and engaging stakeholder opportunities that furthered our ultimate goal of english language mastery. ,Partnered with the business and philanthropic communities to launch  multiple successful capacity development projects & grant proposals.,
general_positions,TRUE,Intern Policy and Programming ,New York City,Asia society,2009,2010,"Provided timely research, analysis and special reports to the Director of Global Policy Programs.",NA,NA
general_positions,TRUE,English Teacher,China,Aston Schools,2006,2007,Partner and collaborate with Chinese counterparts wto facilitate youth and adult english language classes.,NA,NA
VOL_positions,TRUE,President,"Global Shapers, PHX Hub",,2016,2017,Elected to lead 15 adults through the development and execution of community engagement events in collaboration with local and national organizations.,,
VOL_positions,TRUE,President,Encanto Elementary PTO,,2023,2025,"Elected to lead a cohort of over 1,000 parents and teachers , administration in annual fundraising,  community engagement events and teacher care. ",,
Training_ Certifications,TRUE,Complex Decision Making,eCornell,,2022,2022,"4.0 CEU professional development course that familiarizes individuals with their Problem-Solver Profile, provides tools to evaluate cognitive biases and apply remedies in order to  work effectively with other decision-making stakeholders.",,
Training_ Certifications,TRUE,Change Team Fellowship,Year Up,,2022,2022,A working committee with an overarching goal is to provide leadership and momentum around antiracist organizational development.,,
Training_ Certifications,TRUE,Facilitative Leadership,Interaction Institute for Social Change,,2016,2016,"Leadership training focused on building a path for performance and satisfaction by balancing  focus on three dimensions of success: results, process, and relationship, and by inviting others to help attend to that balance.",,
PRG_Training_ Certifications,FALSE,Project Design and Management ,U.S. Peace Corps,,2012,2012,So much good info,,
PRG_Training_ Certifications,FALSE,Community Development Training,U.S. Peace Corps, ,2011,2011,So much good info,,
general_positions,TRUE,"Contractor, Business Development","Phoenix, AZ",The Material Collective,2023,2025,Optimized and cleaned business development workflows in order to create a sustainable process for RFP submissions.,,
general_positions,TRUE,"Contractor, Business Development","Phoenix, AZ",CONEXTECH,2023,2024,Collaborated with team to synthesize customer needs and leverage salesforce data to drive client outreach and identify business growth opportunities.,,
